ADDRESS,LABEL_TYPE,LABEL_SUBTYPE,ADDRESS_NAME,PROJECT_NAME
9SUcVNgF2fKjFoTe511zr3RrMydeQr2GGRtRKAAY8rnz,cex,deposit_wallet,backpack exchange deposit_wallet,backpack exchange
3Qhh4TBAuLpy5c5jTAFkTJNnmjSt5jMMQ3zm1LjEC3fg,cex,deposit_wallet,mexc deposit_wallet,mexc
Ai9RT7xd8Fwhdiz11DsraGME8nbykwVqtcTwWdjwA5N7,cex,deposit_wallet,coinbase deposit_wallet,coinbase
2iQJxNUWaKxWT2pAf7uMQZudkTSLBBGbTTipPJyHNtZC,cex,deposit_wallet,kraken deposit_wallet,kraken
TFJqtvq47TYA13PugrHCoMgYay9do5ru6Ngpbeh8zRx,cex,deposit_wallet,coinbase deposit_wallet,coinbase
75tFRH1Vji7r5mMD62kvmTHUxdeh2ZxZivwLgcXA2cKH,cex,deposit_wallet,coinbase deposit_wallet,coinbase
AxPWevepi8EvaqeAPXmgfPCx2dvy71UxAnJ3HsExktMp,cex,deposit_wallet,kucoin deposit_wallet,kucoin
BMGQJY4aN4qaKcZ61GQDXdwqBEP4MZXnmDgQHob1NMWd,cex,deposit_wallet,binance deposit_wallet,binance
CvbRkXq2AU1DcEnVC6PNm84gD1gkh3v4PSRobYuhDC7j,cex,deposit_wallet,coinbase deposit_wallet,coinbase
3K8B7UaXVngdEnmcwkRnVg9iMTucqmEYFkMVi1NEiWXy,cex,deposit_wallet,bybit deposit_wallet,bybit
D8d9fts5B3K2mqQh23f7Ppa7DsUuFNqPEnmzbkyc3RAh,cex,deposit_wallet,binance deposit_wallet,binance
FNmeheeqvGrJHW3SBkexwjhN18jhwG5SsXAdYCCMqCL5,cex,deposit_wallet,kraken deposit_wallet,kraken
3B2VJ9fjjHnYFSUATxiCLhp1FgEG5Y3SFkY5ucE2hPVV,cex,deposit_wallet,binance deposit_wallet,binance
8r3zMK23vu4qh7jiqBJW79haRbDajgM9xQzuZKAxxcT3,cex,deposit_wallet,binance deposit_wallet,binance
Gttm4hveHzgUfMZujXBMeKd48gXeyyFTbLd7XAC1myrv,cex,deposit_wallet,binance deposit_wallet,binance
B9idtgCp5uch4WtEo7UujkSQx4mCkXKHrGW32jeGfTks,cex,deposit_wallet,binance deposit_wallet,binance
8wmp2qauTuRuirxTj1LxFvuoqiWPx7kXn5s6ggH8ZRNK,cex,deposit_wallet,coinbase deposit_wallet,coinbase
5bJT1a9Ni7ABt15C1CuMqxz2Nr9o3nujnLMXFsSdsQ2u,cex,deposit_wallet,binance deposit_wallet,binance
9NU4Wn7763t2gGwhJKe58ziw8kSnvtE53aKUPPVJFFwV,cex,deposit_wallet,binance deposit_wallet,binance
8gVbkA9hVtvTVjJnjhicFHnKZDrUSbzzryp5NMKFSEY7,cex,deposit_wallet,kucoin deposit_wallet,kucoin
Ajzyy26jctan6p7V9RdyS9h44ojNfQRGwRWgrJnbk6pW,cex,deposit_wallet,okx deposit_wallet,okx
