address,chain,source,name,label_type,label_subtype,project,entity_type,entity_types
7Pm2249LrXxLLVPJumUsBVR6FuPhDJxXxfiWbjZ8DP1T,solana,solana_dapp,ckvtpwvdq4839161zolql978c0n,dapp,governance,ckvtpwvdq4839161zolql978c0n,dapp,
7Pm834L7ACiSnZFyZfrqJs1AermCoG5mMuNorUdNzY7b,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7PmXRwhr3t6557UWeQ4aGrPtdk1nu8cFLzCRRFSr9rYg,solana,solana_cex,kucoin deposit_wallet,cex,deposit_wallet,kucoin,exchange,
7PnJEznyxCmSdquPqtforQKxuisLXoQtZWi8c9Gkj7GM,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7PnrQMRdQk6M27bmESCjH1vEQpHnu3fePJfg4RhnJsqG,solana,solana_cex,kraken deposit_wallet,cex,deposit_wallet,kraken,exchange,
7Povj9T64j4cczDEqyxdjygU2i7Rb3zbwWtAxJrBmo96,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7PpzjrMEUFH6fmbBBGjpCEq4Y3Zin63Ub2Zh6LwJR4xw,solana,solana_cex,bybit deposit_wallet,cex,deposit_wallet,bybit,exchange,
7PqL3qhXtMdqWkq1xfpJQjKoiQgBs7roLDsjP1C7VeDj,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7PqhWyPvtCbMRewFXMqzL2WnqznDzgFcSxKDFovHkTPr,solana,solana_cex,ftx deposit_wallet,cex,deposit_wallet,ftx,exchange,
7Ps8oLRHf6AyyNDUktkie1PHNCJCQEnpoYN9Dfhwj9ha,solana,solana_cex,kraken deposit_wallet,cex,deposit_wallet,kraken,exchange,
7PsWnHnK8eXqV7BHKuJZWogAkNR9YwGUsEcevJhacHYg,solana,solana_cex,gate.io deposit_wallet,cex,deposit_wallet,gate.io,exchange,
